Eatery_ID,Eatery_Name,Eatery_Addr,Eatery_Num,Eatery_Type
72,바다이야기,제주특별자치도 제주시 한림읍 한림로 491,,횟집
73,바다풍경,제주특별자치도 제주시 서해안로 654 ,064-711-7992,횟집
74,바닷가식당,제주특별자치도 제주시 서부두길 10-4,,횟집
75,바당모살,제주특별자치도 제주시 조천읍 함덕로 20,,횟집
76,백선,제주특별자치도 제주시 도남로 10 ,064-751-0033,횟집
77,뱃사공,제주특별자치도 제주시 진동로 36 ,064-756-4782,횟집
78,별방촌,제주특별자치도 제주시 구좌읍 해맞이해안로 1480,064-783-1907,횟집
79,보람수산,제주특별자치도 제주시 신성로 60 ,064-724-4487,횟집
80,보말명가,제주특별자치도 제주시 흥운길 77 ,064-744-8885,횟집
81,보물선,제주특별자치도 제주시 동한두기길 27 ,064-723-1204,횟집
82,복희해장국,제주특별자치도 제주시 임항로 29 ,,횟집
83,봉덕뜨락금능점,제주특별자치도 제주시 한림읍 한림로 121-3,064-796-1008,횟집
84,사형제,제주특별자치도 제주시 한림읍 한림상로 273,064-796-8709,횟집
85,살랑살랑샤브,제주특별자치도 제주시 서해안로 612,,횟집
86,삼공주회센터,제주특별자치도 제주시 진동로 74-6,,횟집
87,삼미횟집제주공항점,제주특별자치도 제주시 도두항서5길 1 ,064-742-8820,횟집
88,삼번지,제주특별자치도 제주시 서해안로 350 ,064-711-6373,횟집
89,삼오칠회센타,제주특별자치도 제주시 신대로16길 33 ,,횟집
90,삼치회사랑,제주특별자치도 제주시 연삼로 355,064-759-6777,횟집
91,삼화포구,제주특별자치도 제주시 서흘1길 26 ,,횟집
92,새힘회센타,제주특별자치도 제주시 중앙로1길 6 ,064-722-1242,횟집
93,서부두한라,제주특별자치도 제주시 서부두길 8 ,,횟집
94,선명,제주특별자치도 제주시 서해안로 464,064-712-3666,횟집
95,섬나라최감독,제주특별자치도 제주시 구좌읍 해맞이해안로 1404,064-783-1320,횟집
96,섬집,제주특별자치도 제주시 도남로 20-1 ,064-755-2257,횟집
97,섬횟집,제주특별자치도 제주시 서해안로 242,064-742-2929,횟집
98,성안식당,제주특별자치도 제주시 한경면 고산로 24,,횟집
99,소담한봉봉,제주특별자치도 제주시 신설로9길 20,,횟집
100,소라,제주특별자치도 제주시 서부두길 18-2,064-758-9273,횟집
101,소라횟집,제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3,064-784-3545,횟집
102,수빈이네,제주특별자치도 제주시 테우해안로 146 ,064-742-6936,횟집
103,수정횟집,제주특별자치도 제주시 삼성로 47 ,064-751-2292,횟집
104,숨비소리,제주특별자치도 제주시 서해안로 283 ,064-742-8988,횟집
105,스시사카나,제주특별자치도 제주시 선사로8길 12,,횟집
106,승범이네집,제주특별자치도 제주시 월랑로 56-1 ,,횟집
107,신등대민박수산회센타,제주특별자치도 제주시 추자면 추자로 12,064-742-3868,횟집
108,신부산아나고,제주특별자치도 제주시 관덕로11길 34-1 ,,횟집
109,신세계회센타,제주특별자치도 제주시 서문로6길 4-7,,횟집
110,신제일,제주특별자치도 제주시 탑동로 39 ,064-753-6600,횟집
111,신토불이수산,제주특별자치도 제주시 정존5길 3 ,064-748-3346,횟집
112,싱싱회센타,제주특별자치도 제주시 동문로4길 9,064-702-8838,횟집
113,싸다회포차,제주특별자치도 제주시 구남로2길 11,064-756-1245,횟집
114,아란치오,제주특별자치도 제주시 서해안로 234,,횟집
115,아싸라비어,제주특별자치도 제주시 원노형로 7 ,,횟집
116,아싸살아있네,제주특별자치도 제주시 신대로16길 32-1,064-748-9000,횟집
117,아싸회,제주특별자치도 제주시 연동11길 36 ,,횟집
118,아침바다,제주특별자치도 제주시 수덕5길 66,,횟집
119,애월해송수산물회센타,제주특별자치도 제주시 애월읍 애월로11길 23,,횟집
120,애월회센터,제주특별자치도 제주시 애월읍 신엄9길 72-11,064-712-5540,횟집
121,어림향,제주특별자치도 제주시 서사로24길 22,064-727-7999,횟집
122,어상,제주특별자치도 제주시 수덕9길 82-7,,횟집
123,어신,제주특별자치도 제주시 신대로12길 39 ,064-745-1959,횟집
124,어애랑,제주특별자치도 제주시 한림읍 한림로 422 ,064-796-9253,횟집
125,어영해녀촌원,제주특별자치도 제주시 월성로 18,064-743-9700,횟집
126,어촌,제주특별자치도 제주시 신성로 63 ,064-752-7474,횟집
127,엄지횟집,제주특별자치도 제주시 월랑로12길 11,064-745-6666,횟집
128,엉덩물,제주특별자치도 제주시 성두길 7-7 ,064-748-8885,횟집
129,여여락토속음식점,제주특별자치도 제주시 중앙로8길 1 ,,횟집
130,여자만이네,제주특별자치도 제주시 탑동로 27 ,064-752-9252,횟집
131,연대토종닭,제주특별자치도 제주시 연대마을길 11-4,064-742-3156,횟집
132,연동마라도,제주특별자치도 제주시 신광로8길 3 ,064-746-2286,횟집
133,연미정,제주특별자치도 제주시 구좌읍 세평항로 14,064-784-8856,횟집
134,영천횟집,제주특별자치도 제주시 서부두길 22,064-752-4285,횟집
135,예향정제주,제주특별자치도 제주시 신설로11길 2-9,064-746-3112,횟집
136,오늘도회는뜬다1호점,제주특별자치도 제주시 조천읍 함덕13길 1-1,064-783-6636,횟집
137,오라버니회센타,제주특별자치도 제주시 연동11길 36,064-745-4543,횟집
138,오룡수산회센타,제주특별자치도 제주시 도근내길 20 ,,횟집
139,오션,제주특별자치도 제주시 흥운길 81 ,064-747-6171,횟집
140,옥수사,제주특별자치도 제주시 임항로 18 ,064-752-2088,횟집
141,올래어촌,제주특별자치도 제주시 테우해안로 166 ,064-711-2992,횟집
142,옹포횟집,제주특별자치도 제주시 한림읍 옹포2길 10,,횟집
143,용두바당,제주특별자치도 제주시 용담로5길 25,,횟집
144,용연,제주특별자치도 제주시 동한두기길 35 ,064-751-8686,횟집
145,용운횟집,제주특별자치도 제주시 흥운길 91 ,064-711-6171,횟집
146,용출,제주특별자치도 제주시 서해안로 660 ,064-742-9244,횟집
147,우도동굴도남점,제주특별자치도 제주시 도남로 6 ,064-756-0423,횟집
148,우도자연,제주특별자치도 제주시 우도면 우도해안길 602,064-784-9911,횟집
149,우도향,제주특별자치도 제주시 우도면 우도해안길 848,064-783-7615,횟집
150,우리회수산,제주특별자치도 제주시 동문로2길 10,064-782-4282,횟집
151,우정횟집,제주특별자치도 제주시 서부두길 16 ,064-757-4202,횟집
152,우현,제주특별자치도 제주시 서해안로 660,064-747-4375,횟집
153,유달산,제주특별자치도 제주시 중앙로1길 16 ,064-758-2962,횟집
154,유명야시장,제주특별자치도 제주시 서부두길 6 ,064-758-9202,횟집
155,윤과장포차,제주특별자치도 제주시 신성로 68 ,064-721-8929,횟집
156,은성,제주특별자치도 제주시 동한두기길 35-1 ,064-722-5997,횟집
157,이만석군횟집,제주특별자치도 제주시 도두항서길 26 ,064-742-8484,횟집
158,이스트블루,제주특별자치도 제주시 서해안로 560 ,064-711-6754,횟집
159,이십사시회센타,제주특별자치도 제주시 전농로 39-3 ,,횟집
160,이어도횟집,제주특별자치도 제주시 서해안로 660,064-747-1315,횟집
161,이호,제주특별자치도 제주시 테우해안로 174 ,,횟집
162,이호해변,제주특별자치도 제주시 테우해안로 176 ,064-743-6436,횟집
163,일도회센타,제주특별자치도 제주시 천수로8길 6 ,064-753-5362,횟집
164,일미도,제주특별자치도 제주시 구좌읍 면수길 52-1,064-784-1788,횟집
165,일출바당,제주특별자치도 제주시 남광북3길 14 ,,횟집
166,자구내,제주특별자치도 제주시 삼무로3길 18 ,064-744-6780,횟집
167,재현이네갈비,제주특별자치도 제주시 선덕로 7 ,064-712-8856,횟집
168,전주횟집,제주특별자치도 제주시 서해안로 546,064-712-1189,횟집
169,정포차,제주특별자치도 제주시 도남로15길 3 ,064-755-1130,횟집
170,제주깊은바당,제주특별자치도 제주시 도두항서길 15 ,064-743-7523,횟집
171,제주노량진회센타,제주특별자치도 제주시 탑동로 33 ,064-726-7766,횟집
172,제주대게회타운,제주특별자치도 제주시 서해안로 638 ,064-747-9289,횟집
173,제주동복해녀식당,제주특별자치도 제주시 구좌읍 동복로 5,064-783-4158,횟집
174,제주만석,제주특별자치도 제주시 남성로 46-1,064-751-3737,횟집
175,제주맛동산칼국수,제주특별자치도 제주시 신대로9길 19 ,064-747-3354,횟집
176,제주바다다,제주특별자치도 제주시 애월읍 애월해안로 592,064-743-3334,횟집
177,제주바닷가의나루터,제주특별자치도 제주시 서해안로 634 ,064-722-5005,횟집
178,제주삼다도횟집1호점,제주특별자치도 제주시 서해안로 568 ,064-744-8881,횟집
179,제주서문수산,제주특별자치도 제주시 서문로4길 13-2,,횟집
180,제주앞바다횟집,제주특별자치도 제주시 동한두기길 29,,횟집
181,제주오면돼지,제주특별자치도 제주시 서해안로 560 ,064-742-9982,횟집
182,제주용담수산,제주특별자치도 제주시 서문로 24-1 ,064-724-7775,횟집
183,조개마당,제주특별자치도 제주시 제원길 8,064-711-3892,횟집
184,조박사,제주특별자치도 제주시 다랑곶길 10 ,064-746-8668,횟집
185,조은날,제주특별자치도 제주시 월랑로4길 39 ,,횟집
186,종달해녀의집,제주특별자치도 제주시 구좌읍 해맞이해안로 2276,,횟집
187,주식회사수평선제주,제주특별자치도 제주시 서부두길 18,064-752-7746,횟집
188,주왕,제주특별자치도 제주시 수덕9길 86-4 ,064-712-5744,횟집
189,지중해참치,제주특별자치도 제주시 월랑로 13 ,064-747-3735,횟집
190,진고등어쌈밥,제주특별자치도 제주시 서해안로 348 ,064-747-3545,횟집
191,진우네국밥,제주특별자치도 제주시 남성로 24 ,064-756-0118,횟집
192,진행수산,제주특별자치도 제주시 신성로7길 20 ,064-722-5561,횟집
193,쨍하고회뜰날,제주특별자치도 제주시 신광로10길 18 ,064-712-2365,횟집
194,쪼끌락,제주특별자치도 제주시 구좌읍 김녕로21길 21,064-783-3436,횟집
195,쭈이빵,제주특별자치도 제주시 연동7길 42 ,064-745-8888,횟집
196,천궁,제주특별자치도 제주시 서부두길 26 ,064-756-4560,횟집
197,청미락횟집,제주특별자치도 제주시 서사로 111 ,064-725-1717,횟집
198,청어람,제주특별자치도 제주시 가령골2길 23 ,064-724-6778,횟집
199,청파식당횟집,제주특별자치도 제주시 구좌읍 세평항로 12,,횟집
200,청해야제주공항점,제주특별자치도 제주시 서해안로 646 ,064-722-4585,횟집
201,초가장,제주특별자치도 제주시 서부두길 16 ,064-758-1333,횟집
202,추자본섬연동점,제주특별자치도 제주시 선덕로 14-1 ,064-747-1115,횟집
203,추자섬바당,제주특별자치도 제주시 구남동8길 29 ,064-702-5292,횟집
204,추자수협회센타,제주특별자치도 제주시 추자면 추자로 1 ,064-742-8192,횟집
205,카훼리,제주특별자치도 제주시 서해안로 568,064-743-6664,횟집
206,탐라는집,제주특별자치도 제주시 도공로 16,064-723-5564,횟집
207,탐라옵데강,제주특별자치도 제주시 관덕로 64,,횟집
208,태하횟집,제주특별자치도 제주시 동한두기길 31-2,,횟집
209,테우,제주특별자치도 제주시 조천읍 조함해안로 418,,횟집
210,투망,제주특별자치도 제주시 도두항서길 69-1,064-711-7815,횟집
211,파랑도,제주특별자치도 제주시 서해안로 658 ,064-742-8883,횟집
212,푸른바당횟집,제주특별자치도 제주시 서해안로 476 ,064-742-2843,횟집
213,풍어,제주특별자치도 제주시 연수중길 15 ,064-727-0401,횟집
214,하꼬네,제주특별자치도 제주시 신성로10길 5,,횟집
215,한라회센타,제주특별자치도 제주시 연삼로 540 ,064-724-6694,횟집
216,한일반점,제주특별자치도 제주시 정존3길 1 ,064-744-3649,횟집
217,한푼리회포차,제주특별자치도 제주시 광양14길 18,064-721-2231,횟집
218,함덕대박횟집,제주특별자치도 제주시 조천읍 조함해안로 441,064-782-6113,횟집
219,항아리뚜껑,제주특별자치도 제주시 동한두기길 39,064-758-6941,횟집
220,해경,제주특별자치도 제주시 서해안로 456-4 ,064-711-9669,횟집
221,해금강,제주특별자치도 제주시 서부두길 28 ,064-753-3653,횟집
222,해녀,제주특별자치도 제주시 탑동로 35 ,064-724-6212,횟집
223,해녀바당,제주특별자치도 제주시 삼무로 11-1 ,064-745-8850,횟집
224,해녀잠수촌,제주특별자치도 제주시 서해안로 498,064-743-0733,횟집
225,해녀할망국수,제주특별자치도 제주시 탑동로 31-1 ,064-726-1381,횟집
226,해다미,제주특별자치도 제주시 서해안로 660,064-742-3319,횟집
227,해담은,제주특별자치도 제주시 남광북1길 41,064-756-5673,횟집
228,해도횟집본점,제주특별자치도 제주시 인다9길 16,064-723-7744,횟집
229,해변,제주특별자치도 제주시 애월읍 애월해안로 90,064-799-7710,횟집
230,해변풍경횟집,제주특별자치도 제주시 서해안로 472 ,064-711-1395,횟집
231,해선,제주특별자치도 제주시 서부두길 26 ,064-756-3988,횟집
232,해양호,제주특별자치도 제주시 일주서로 7620 ,064-743-2706,횟집
233,해연,제주특별자치도 제주시 흥운길 83 ,064-711-9730,횟집
234,해와달그리고섬,제주특별자치도 제주시 우도면 우도해안길 946,064-784-0941,횟집
235,해원,제주특별자치도 제주시 서해안로 687-6,064-711-2552,횟집
236,해원초가집,제주특별자치도 제주시 서해안로 687-6 ,064-744-2552,횟집
237,해자원,제주특별자치도 제주시 원남6길 26,064-744-3936,횟집
238,해진횟집,제주특별자치도 제주시 서부두길 26 ,064-722-4584,횟집
239,해찬,제주특별자치도 제주시 금산5길 30-10,064-722-8684,횟집
240,해청수산,제주특별자치도 제주시 우정로13길 3,,횟집
241,협재해녀의집,제주특별자치도 제주시 한림읍 협재3길 19,,횟집
242,화북손칼국수,제주특별자치도 제주시 진남로8길 1,064-702-3298,횟집
243,화북황금수산,제주특별자치도 제주시 화북일동 4216-3,064-725-3660,횟집
244,화진전복,제주특별자치도 제주시 무근성길 2,064-752-2280,횟집
245,회만원,제주특별자치도 제주시 동광로6길 21,,횟집
246,후니참치,제주특별자치도 제주시 노연로 39 ,064-748-8887,횟집
247,훈남횟집,제주특별자치도 제주시 조천읍 함덕13길 7,064-783-0083,횟집
248,17번가,제주특별자치도 제주시 애월읍 항몽로 17,064-713-5991,호프/통닭
249,1943제주시청점,제주특별자치도 제주시 광양8길 7,064-723-3865,호프/통닭
250,24케이,제주특별자치도 제주시 광양8길 7,064-721-0808,호프/통닭
251,2에프(2F),제주특별자치도 제주시 광양8길 2,,호프/통닭
252,60계치킨제주삼화지구점,제주특별자치도 제주시 화삼로 11,064-753-0858,호프/통닭
253,79대포제주시청점,제주특별자치도 제주시 광양10길 3,064-753-0522,호프/통닭
254,815광복상회,제주특별자치도 제주시 동광로 88 ,064-752-3621,호프/통닭
255,가르텐노형점,제주특별자치도 제주시 월랑로10길 2 ,,호프/통닭
256,가리포차,제주특별자치도 제주시 서광로32길 23 ,,호프/통닭
257,가마치통닭애월점,제주특별자치도 제주시 애월읍 고내로11길 30,064-799-8294,호프/통닭
258,가보면호프,제주특별자치도 제주시 흥운길 1 ,064-743-1464,호프/통닭
259,가완,제주특별자치도 제주시 신대로7길 20,,호프/통닭
260,간또,제주특별자치도 제주시 연동7길 19,064-744-2374,호프/통닭
261,간또일도점,제주특별자치도 제주시 고마로 145-1,064-757-0142,호프/통닭
262,간이역법원점,제주특별자치도 제주시 남광북3길 30 ,064-702-3254,호프/통닭
263,간이역삼도역점,제주특별자치도 제주시 서광로13길 9 ,064-751-5533,호프/통닭
264,간이역오라점,제주특별자치도 제주시 서사로 168 ,064-759-5792,호프/통닭
265,간이역정동역점,제주특별자치도 제주시 원노형로 43 ,064-742-3106,호프/통닭
266,간이역주홍점,제주특별자치도 제주시 도남로15길 7 ,064-759-7171,호프/통닭
267,강윤구스시야,제주특별자치도 제주시 화삼북로 135,064-722-0271,호프/통닭
268,강촌숯불닭갈비도남점,제주특별자치도 제주시 도남로 11 ,064-727-7080,호프/통닭
269,강촌숯불닭갈비제주본점,제주특별자치도 제주시 신대로14길 50,,호프/통닭
270,경주댁소주방,제주특별자치도 제주시 진군길 56 ,064-744-0019,호프/통닭
271,경화,제주특별자치도 제주시 만덕로 36-2 ,,호프/통닭
272,고마로포차,제주특별자치도 제주시 고마로 63 ,,호프/통닭
273,고바,제주특별자치도 제주시 신대로14길 48 ,064-749-4800,호프/통닭
274,고씨회관,제주특별자치도 제주시 신대로14길 49 ,,호프/통닭
275,고씨회관시청점,제주특별자치도 제주시 신성로13길 30 ,064-757-3887,호프/통닭
276,고요남,제주특별자치도 제주시 신설로6길 24,064-722-5253,호프/통닭
277,고치글라,제주특별자치도 제주시 일주동로 366 ,064-784-1438,호프/통닭
278,골드,제주특별자치도 제주시 서광로32길 35-1,064-724-4663,호프/통닭
279,골뱅이,제주특별자치도 제주시 신성로13길 27 ,064-721-1288,호프/통닭
280,골뱅이닷컴,제주특별자치도 제주시 고마로 130 ,064-726-3536,호프/통닭
281,곱꼬닭,제주특별자치도 제주시 도남로 44 ,064-758-8915,호프/통닭
282,곱창이야기일도점,제주특별자치도 제주시 연삼로 529 ,064-702-8292,호프/통닭
283,광령치킨,제주특별자치도 제주시 애월읍 광성로 284,064-745-3201,호프/통닭
284,광양고을빈대떡,제주특별자치도 제주시 중앙로 180-1 ,064-752-7064,호프/통닭
285,광양캔사스시티,제주특별자치도 제주시 서광로32길 19 ,064-726-5747,호프/통닭
286,괸당집노형점,제주특별자치도 제주시 수덕11길 40 ,064-713-1045,호프/통닭
287,교촌치킨 용담삼도점,제주특별자치도 제주시 용화로 40,064-745-0991,호프/통닭
288,교촌치킨노형점,제주특별자치도 제주시 월랑로 35,,호프/통닭
289,교촌치킨도두해안도로점,제주특별자치도 제주시 서해안로 160-1,,호프/통닭
290,교촌치킨아라이도점,제주특별자치도 제주시 승천로 51,,호프/통닭
291,교촌치킨아라점,제주특별자치도 제주시 중앙로 596,,호프/통닭
292,구공,제주특별자치도 제주시 광양14길 14,064-723-2356,호프/통닭
293,국물닭발집,제주특별자치도 제주시 중앙로 195-2,,호프/통닭
294,국수데이,제주특별자치도 제주시 애월읍 하광로 38,064-746-2772,호프/통닭
295,군산야식,제주특별자치도 제주시 서사로 105,,호프/통닭
296,굽네치킨한림점,제주특별자치도 제주시 한림읍 한림상로 158-1,,호프/통닭
297,권주가,제주특별자치도 제주시 천수로 82,064-702-1122,호프/통닭
298,그냥술집,제주특별자치도 제주시 진동로1길 13,,호프/통닭
299,그냥호프,제주특별자치도 제주시 용담로 29-1 ,064-721-3140,호프/통닭
300,금잔디,제주특별자치도 제주시 애월읍 애월로 119 ,,호프/통닭
301,기분,제주특별자치도 제주시 만덕로 9,,호프/통닭
302,기차역,제주특별자치도 제주시 다랑곶4길 20 ,,호프/통닭
303,기찬밥상,제주특별자치도 제주시 애월읍 광성로 293,064-748-1818,호프/통닭
304,긴자,제주특별자치도 제주시 신광로8길 30-1 ,,호프/통닭
305,김마리,제주특별자치도 제주시 광양14길 17-10 ,,호프/통닭
306,김삿갓도쉬어간주막,제주특별자치도 제주시 월랑로4길 31,,호프/통닭
307,김창민씨네식당외도점,제주특별자치도 제주시 우정로18길 12,,호프/통닭
308,까투리광양점,제주특별자치도 제주시 중앙로 184 ,,호프/통닭
309,까투리꼬치구이태양점,제주특별자치도 제주시 신대로10길 22 ,064-748-9282,호프/통닭
310,까투리꼬치구이행복점,제주특별자치도 제주시 고마로 58 ,064-758-0214,호프/통닭
311,까투리시민점,제주특별자치도 제주시 중앙로 137,064-726-9442,호프/통닭
312,까투리행운점,제주특별자치도 제주시 도령로13길 9 ,064-743-7134,호프/통닭
313,까투리화북주공점,제주특별자치도 제주시 동화로1길 45-12 ,,호프/통닭
314,깜보식당,제주특별자치도 제주시 서광로26길 12 ,,호프/통닭
315,꼬꼬쉐프,제주특별자치도 제주시 진동로5길 9,,호프/통닭
316,꼬끼오옛날통닭,제주특별자치도 제주시 한림읍 한림중앙로 18,064-796-7765,호프/통닭
317,꼬들목살집,제주특별자치도 제주시 진군중길 26 ,,호프/통닭
318,꼬지사께아라점,제주특별자치도 제주시 중앙로 576,,호프/통닭
319,꼬추,제주특별자치도 제주시 오복4길 10,,호프/통닭
320,꼬치캠퍼스,제주특별자치도 제주시 고마로 54 ,064-752-6007,호프/통닭
321,꼬치타운,제주특별자치도 제주시 서광로 155,064-755-9212,호프/통닭
322,꼬치파티,제주특별자치도 제주시 중앙로 135,064-702-6339,호프/통닭
323,꼬치포인트이도점,제주특별자치도 제주시 고산동산5길 34-1 ,064-724-9792,호프/통닭
324,꼬친닭,제주특별자치도 제주시 신산로 51-1 ,064-758-0129,호프/통닭
325,꽃분이네옛날통닭,제주특별자치도 제주시 오일장서길 26,,호프/통닭
326,나눔마당,제주특별자치도 제주시 사장길 12,064-744-9088,호프/통닭
327,나니와,제주특별자치도 제주시 연동3길 36 ,064-746-1874,호프/통닭
328,나도가수다,제주특별자치도 제주시 서해안로 216,064-711-3730,호프/통닭
329,나룻배,제주특별자치도 제주시 연삼로 543,064-721-5797,호프/통닭
330,나르샤,제주특별자치도 제주시 광양13길 8 ,,호프/통닭
331,나름,제주특별자치도 제주시 서광로32길 29-1,,호프/통닭
332,나주닭집용담점,제주특별자치도 제주시 용화로 34,,호프/통닭
333,남다른,제주특별자치도 제주시 정존15길 33 ,064-713-9983,호프/통닭
334,남매포차,제주특별자치도 제주시 신산로 34-1 ,064-724-6309,호프/통닭
335,남문숯불바베큐도두점,제주특별자치도 제주시 서해안로 154,,호프/통닭
336,남문숯불바베큐앤치킨정실점,제주특별자치도 제주시 아연로 149,,호프/통닭
337,남문숯불바베큐엔치킨도남점,제주특별자치도 제주시 도남로 45 ,064-758-1568,호프/통닭
338,남문숯불바베큐엔치킨조수점,제주특별자치도 제주시 한경면 용금로 516,064-722-9201,호프/통닭
339,남문숯불바베큐치킨아라점,제주특별자치도 제주시 아란7길 11,,호프/통닭
340,남문회센타,제주특별자치도 제주시 일주동로 195 ,,호프/통닭
341,남성로치킨하우스삼화점,제주특별자치도 제주시 건주로3길 19,064-755-1239,호프/통닭
342,남원양꼬치,제주특별자치도 제주시 도남로 15 ,064-755-1354,호프/통닭
343,내가찾은맛고을,제주특별자치도 제주시 진남로8길 39 ,,호프/통닭
