Stay_ID,Stay_Type,Stay_Name,Stay_Addr,Stay_Num,longtitude,langtitude
22,관광호텔업,라자관광호텔,제주특별자치도 제주시 연동6길 33,064-745-8100,126.5012892,33.49694516
23,관광호텔업,메이더호텔,제주특별자치도 제주시 구좌읍 일주동로 1626,064-766-8888,126.7111281,33.55411673
24,관광호텔업,뉴코리아호텔,제주특별자치도 제주시 은남길 37,064-744-4333,126.4959043,33.48647874
25,관광호텔업,코쿤애월,제주특별자치도 제주시 애월읍 중엄3길 50,064-744-8006,126.4466095,33.46115312
26,관광호텔업,뉴맨하탄관광호텔,제주특별자치도 제주시 도령로 66,064-742-7991,126.4856229,33.48931269
27,관광호텔업,호텔라온제주,제주특별자치도 제주시 한림읍 금능남로 127,064-795-8000,126.2981314,33.41795341
28,관광호텔업,파크사이드관광호텔,제주특별자치도 제주시 도령로 126,064-746-4545,126.4907658,33.49240883
29,관광호텔업,애플관광호텔,제주특별자치도 제주시 동광로 45,064-725-1552,126.5335657,33.50300599
30,관광호텔업,관광호텔 더레드,제주특별자치도 제주시 동광로6길 10,064-725-7252,126.5318801,33.50102097
31,관광호텔업,엠버시티호텔,제주특별자치도 제주시 노연로 13,064-711-8500,126.4816706,33.48631533
32,관광호텔업,퓨어스테이호텔(구.현대관광호텔),제주특별자치도 제주시 신대로 68,064-742-2714,126.4963665,33.4913732
33,관광호텔업,호텔루트,제주특별자치도 제주시 고마로15길33,064-755-8813,126.5429763,33.50893012
34,관광호텔업,올레관광호텔,제주특별자치도 제주시 서광로 254,064-723-2727,126.5236542,33.49955394
35,관광호텔업,로긴호텔,제주특별자치도 제주시 서해안로 442-9,064-712-2377,126.4880228,33.51739522
36,관광호텔업,엠버호텔,제주특별자치도 제주시 삼무로 12,064-745-7459,126.4878117,33.48974547
37,관광호텔업,해호텔,제주특별자치도 제주시 서해안로 526,064-742-4356,126.4952155,33.519606
38,관광호텔업,롯데시티호텔 제주,제주특별자치도 제주시 도령로 82,064-730-1070,126.4865086,33.49067398
39,관광호텔업,엠버호텔 센트럴,제주특별자치도 제주시 노연로 24,064-747-0771,126.4826522,33.48584989
40,관광호텔업,씨제이관광호텔,제주특별자치도 제주시 광양8길 24,064-755-7413,126.5270801,33.49981088
41,관광호텔업,제주미주호텔,제주특별자치도 제주시 신대로 60,064-805-4288,126.4963925,33.49214905
42,관광호텔업,호텔 컬리넌,제주특별자치도 제주시 사장1길 26,064-743-6500,126.4928415,33.48536375
43,관광호텔업,골든파크관광호텔,제주특별자치도 제주시 서광로2길 9,064-752-5820,126.5129813,33.49924056
44,관광호텔업,오라관광호텔,제주특별자치도 제주시 연북로 217,064-713-6261,126.5048334,33.4819465
45,관광호텔업,씨앤관광호텔,제주특별자치도 제주시 일주서로 7490,064-711-7400,126.4470446,33.49361766
46,관광호텔업,루스톤호텔,제주특별자치도 제주시 애월해안로 408,064-799-1671,126.3527534,33.4719298
47,관광호텔업,루스톤빌라앤호텔,제주특별자치도 제주시 애월해안로 406,064-799-1671,126.3520542,33.47216459
48,관광호텔업,팜파스호텔 제주,제주특별자치도 제주시 서해안로 368-3,064-727-5888,126.4849926,33.51155763
49,관광호텔업,그라벨 호텔,제주특별자치도 제주시 일주서로 7316,064-740-8010,126.428654,33.49238674
50,관광호텔업,HOTEL LEO,제주특별자치도 제주시 삼무로 14,064-754-7000,126.4882444,33.48973439
51,관광호텔업,베니키아 아이진호텔,제주특별자치도 제주시 신대로 22길 4,064-745-0700,126.4972475,33.49519542
52,관광호텔업,아스타호텔,제주특별자치도 제주시 서사로 129,064-710-1100,126.5202393,33.50083927
53,관광호텔업,심스호텔,제주특별자치도 제주시 임항로 249,064-750-8988,126.539548,33.51780998
54,관광호텔업,케이 관광호텔,제주특별자치도 제주시 연동 251-79,064-743-2123,126.4879702,33.48903639
55,관광호텔업,애월바다호텔 제주,제주특별자치도 제주시 애월읍 애월해안로 554-10,064-799-3544,126.3629563,33.47726611
56,관광호텔업,유니호텔,제주특별자치도 제주시 애월읍 애월해안로 656,064-741-5000,126.4375976,33.43520882
57,관광호텔업,사하라,제주특별자치도 제주시 서광로 265,064-721-0707,126.5247444,33.500257
58,관광호텔업,신라스테이제주,제주특별자치도 제주시 노연로 100,064-717-9000,126.4909684,33.48549958
59,관광호텔업,제니아관광호텔,제주특별자치도 제주시 은남1길 25,064-797-9000,126.493087,33.48908947
60,관광호텔업,제주갤럭시호텔,제주특별자치도 제주시 남성로 33,064-750-3355,128.5882983,35.86894173
61,관광호텔업,베니키아호텔제주,제주특별자치도 제주시 애월읍 애월해안로 554-6,064-799-3544,126.3410381,33.46714121
62,관광호텔업,플로라호텔해마,제주특별자치도 제주시 삼무로 28,064-786-6000,126.489556,33.48970225
63,관광호텔업,에스호텔,제주특별자치도 제주시 오일장중길 26,064-749-9928,126.4714598,33.49543607
64,관광호텔업,블랙샌즈관광호텔,제주특별자치도 제주시 선사로 8,064-740-0888,126.5873121,33.52194233
65,관광호텔업,호텔더원,제주특별자치도 제주시 사장3길 33,064-798-0001,126.4914576,33.48253176
66,관광호텔업,제주인관광호텔,제주특별자치도 제주시 신산마을길 20,064-754-1111,126.4458309,33.49184411
67,관광호텔업,제주코아관광호텔,제주특별자치도 제주시 신대로 148,064-744-6600,126.496047,33.48408316
68,관광호텔업,하버관광호텔,제주특별자치도 제주시 임항로 260,064-754-6000,126.5382739,33.51770657
69,관광호텔업,탐라스테이,제주특별자치도 제주시 애월읍 애월해안로 881,064-742-8848,126.4372685,33.445189
70,관광호텔업,스카이힐비즈니스 관광호텔,제주특별자치도 제주시 서광로24길 1,064-751-5177,126.5232841,33.49943829
71,관광호텔업,슬림관광호텔,제주특별자치도 제주시 서광로 292-1,064-722-1551,126.5277167,33.50016312
72,관광호텔업,플로라제주 제이드림호텔,제주특별자치도 제주시 은남1길 40,064-711-0008,126.4915484,33.48943321
73,관광호텔업,어반아일랜드호텔,제주특별자치도 제주시 삼무로 76,064-740-1900,126.4947398,33.4895607
74,관광호텔업,더스테이센추리호텔,제주특별자치도 제주시 애월읍 일주서로 7113,064-800-4000,126.4089225,33.4848664
75,관광호텔업,오드리 인,제주특별자치도 제주시 서해안로 100,064-710-8000,126.4601754,33.50306328
76,관광호텔업,스위트캐슬,제주특별자치도 제주시 조천읍 신북로 443,064-731-3700,126.6483955,33.48887649
77,관광호텔업,호텔난타,제주특별자치도 제주시 선돌목동길 56-26,064-727-0603,126.547286,33.44541077
78,관광호텔업,(주)호텔샬롬,제주특별자치도 제주시 동광로 34,064-720-7700,126.5325886,33.50198371
79,관광호텔업,제주레슬리호텔,제주특별자치도 제주시 광평길 3,064-713-6800,126.4706493,33.48109123
80,관광호텔업,제주노블레스 관광호텔,제주특별자치도 제주시 월성로4길 19,064-747-7161,126.5033589,33.50067983
81,관광호텔업,호텔 시리우스,제주특별자치도 제주시 도령로 133,070-4559-1155,126.4909986,33.49345243
82,관광호텔업,다인오세아노호텔,제주특별자치도 제주시 애월읍 애월해안로 394,1811-0012,126.4435173,33.44311604
83,관광호텔업,시티홀관광호텔제주,제주특별자치도 제주시 동광로4길 9-4,064-726-5678,126.5319771,33.50077145
84,관광호텔업,그랜드하얏트 제주,제주특별자치도 제주시 노연로 12,064-795-6336,126.4814596,33.4852617
85,관광호텔업,아루미호텔 협재점,제주특별자치도 제주시 한림읍 한림로 545,064-738-9780,126.2816277,33.4199738
86,관광호텔업,(주)호텔신라 제주신라,제주특별자치도 서귀포시 중문관광로72번길 75,064-735-5114,126.4069417,33.24757418
87,관광호텔업,㈜호텔롯데 롯데호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 35,064-731-1000,126.4092417,33.24901384
88,관광호텔업,더 쇼어호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 114,064-733-1234,126.4051788,33.24610096
89,관광호텔업,㈜교원 스위트호텔 제주,제주특별자치도 서귀포시 중문관광로72번길 67,064-738-3800,126.4083476,33.24905001
90,관광호텔업,서귀포KAL호텔,제주특별자치도 서귀포시 칠십리로 242,064-733-2001,126.5796536,33.24622251
91,관광호텔업,해비치호텔,제주특별자치도 서귀포시 표선면 민속해안로 537,064-780-8000,126.843416,33.34815903
92,관광호텔업,WE호텔,제주특별자치도 서귀포시 1100로 453-95,064-730-1200,126.4446943,33.28645703
93,관광호텔업,CASALOMA HOTEL,제주특별자치도 서귀포시 태평로 347,064-733-2121,126.5583799,33.2467758
94,관광호텔업,헤이서귀포,제주특별자치도 서귀포시 태평로 363,064-763-0024,126.5599875,33.24651169
95,관광호텔업,주식회사 호텔크리스탈,제주특별자치도 서귀포시 중정로 16,064-732-8311,126.5581127,33.24729808
96,관광호텔업,호텔굿인 서귀포,제주특별자치도 서귀포시 태평로439번길 14,064-767-9600,126.5657644,33.24677286
97,관광호텔업,호텔 테디밸리,제주특별자치도 서귀포시 안덕면 한창로 365,064-793-1000,126.3366416,33.24396539
98,관광호텔업,부영CC관광호텔,제주특별자치도 서귀포시 남원읍 남조로 960,064-766-5500,126.7068246,33.29596237
99,관광호텔업,파인힐호텔,제주특별자치도 서귀포시 부두로 44,064-762-5988,126.5643398,33.24132563
100,관광호텔업,호텔랑주,제주특별자치도 서귀포시 김정문화로27번길 23-3,064-739-0012,126.5079516,33.25393305
101,관광호텔업,호텔빠레브 주식회사,제주특별자치도 서귀포시 김정문화로 15,064-735-8899,126.5066588,33.25238609
102,관광호텔업,호텔 스카브로,제주특별자치도 서귀포시 예래해안로 15,064-738-1551,126.3703627,33.23379388
103,관광호텔업,아리아호텔,제주특별자치도 서귀포시 중문관광로 23-1,064-738-8981,126.4154723,33.25585432
104,관광호텔업,글래드호텔앤리조트㈜제주항공우주호텔,제주특별자치도 서귀포시 안덕면 녹차분재로 216,064-798-5500,126.3432393,33.24930325
105,관광호텔업,그랜드조선 제주(REDD21호 제주중문호텔),제주특별자치도 서귀포시 중문관광로72번길 60,064-735-8900,126.4096429,33.25349096
106,관광호텔업,호텔 캘리포니아,제주특별자치도 서귀포시 김정문화로 27번길 14-4,064-738-9902,126.5072935,33.25214979
107,관광호텔업,풍경호텔,제주특별자치도 서귀포시 남성중로 147,064-733-3355,126.5534134,33.24484282
108,관광호텔업,호텔화인,제주특별자치도 서귀포시 칠십리로 87,064-801-8888,126.5650335,33.24050447
109,관광호텔업,베니키아 중문호텔,제주특별자치도 서귀포시 천제연로 166,064-802-8888,126.4223707,33.25188823
110,관광호텔업,제주 부영호텔 & 리조트,제주특별자치도 서귀포시 중문관광로 222,064-731-5500,126.4232472,33.24255968
111,관광호텔업,파크선샤인제주관광호텔,제주특별자치도 서귀포시 남성중로 135,064-766-1000,126.5533138,33.24343953
112,관광호텔업,비케이호텔인제주,제주특별자치도 서귀포시 칠십리로91번길 12,064-763-0779,126.5642764,33.24103995
113,관광호텔업,블루마운틴관광호텔,제주특별자치도 서귀포시 성산읍 일출로 297,064-731-8888,126.9170488,33.46602965
114,관광호텔업,오션블루호텔,제주특별자치도 서귀포시 이어도로 67,064-722-9991,126.4304105,33.23886943
115,관광호텔업,제주리시온관광호텔,제주특별자치도 서귀포시 표선면 표선동서로 263,064-787-8841,126.8312913,33.33602581
116,관광호텔업,유어스호텔,제주특별자치도 서귀포시 천제연로 178번길 21,064-733-7500,126.4235573,33.25169106
117,관광호텔업,그랜드메르호텔 제주,제주특별자치도 서귀포시 논짓물로 45,064-801-7000,126.3861202,33.23964181
118,관광호텔업,제주스테이,제주특별자치도 서귀포시 성산읍 신고로 11,064-783-8877,126.9205516,33.46899003
119,관광호텔업,히든클리프호텔&네이쳐,제주특별자치도 서귀포시 예래해안로 542,064-752-7777,126.4025948,33.25472882
120,관광호텔업,성산썬라이즈호텔,제주특별자치도 서귀포시 성산읍 성산등용로17번길 35,064-782-6650,126.9208625,33.46764756
121,관광호텔업,호텔더본제주,제주특별자치도 서귀포시 색달로 18,064-766-8988,126.4069278,33.25908509
122,관광호텔업,playce(플레이스),제주특별자치도 서귀포시 성산읍 동류암로 20,064-766-3050,126.9205867,33.46741481
123,관광호텔업,제주 티라 호텔,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 41,064-786-5353,126.9212308,33.46695214
124,관광호텔업,제주신화월드 호텔 앤 리조트,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,064-908-1234,126.3364714,33.24868186
125,관광호텔업,호텔 아루미,제주특별자치도 서귀포시 색달중앙로 38,064-738-9780,126.4139626,33.25857166
126,관광호텔업,골드윈호텔&스위트,제주특별자치도 서귀포시 이어도로 1032,064-801-5000,126.5223872,33.24420937
127,관광호텔업,㈜신세계조선호텔 그랜드조선 제주 힐스윗,제주특별자치도 서귀포시 중문관광로72번길 60,064-738-6600,126.4096429,33.25349096
128,한국전통호텔업,씨에스개발㈜ 씨에스호텔앤리조트,제주특별자치도 서귀포시 중문관광로 198,064-735-3000,126.4214418,33.24306716
129,가족호텔업,꼬뜨도르가족호텔,제주특별자치도 제주시 구좌읍 일주동로 1724,064-782-0800,126.7089203,33.5464598
130,가족호텔업,그림리조트,제주특별자치도 제주시 서해안로 620-1,064-742-2080,126.5034447,33.51649777
131,가족호텔업,다인리조트,제주특별자치도 제주시 애월읍 애월해안로 400-9,064-799-2600,126.3512637,33.47145938
132,가족호텔업,올레리조트,제주특별자치도 제주시 애월읍 부룡수길 33,064-799-7770,126.4153155,33.46986602
133,가족호텔업,베스트웨스턴 제주호텔,제주특별자치도 제주시 도령로 27,064-797-6000,126.4818554,33.48782521
134,가족호텔업,다인리조트 투(2차),제주특별자치도 제주시 애월읍 애월해안로 400-9,064-799-2600,126.3512637,33.47145938
135,가족호텔업,㈜아모렉스리조트,제주특별자치도 제주시 서해안로 216,064-711-0125,126.4702054,33.50745367
136,가족호텔업,제주나인리조트,제주특별자치도 제주시 해안마을북길 14-5,064-722-2222,126.4536918,33.46502149
137,가족호텔업,(주)하바나호텔앤리조트,제주특별자치도 제주시 구좌읍 해맞이해안로 1590-6,064-782-1000,126.8737595,33.52808393
138,가족호텔업,부띠끄호텔빌라드애월,제주특별자치도 제주시 애월읍 애월해안로 516-7,064-720-9000,126.3571319,33.45431015
139,가족호텔업,로긴리조트,제주특별자치도 제주시 서해안로 442-11,064-723-3333,126.4886002,33.51699191
140,가족호텔업,블루하와이리조트,제주특별자치도 제주시 한림읍 한림로 77,064-773-0800,126.2992699,33.41851791
141,가족호텔업,제주에어포트호텔,제주특별자치도 제주시 도령로 102,064-745-9555,126.4887786,33.49095074
142,가족호텔업,오션패밀리호텔 스토리,제주특별자치도 제주시 일주서로 7531,064-712-3900,126.4508763,33.4952781
143,가족호텔업,홍익제주호텔,제주특별자치도 제주시 한림읍 일주서로 5125,064-723-5801,126.2534195,33.39176874
144,가족호텔업,㈜호텔샹그릴라,제주특별자치도 제주시 노형로 79,064-726-0041,126.4547696,33.46431925
145,가족호텔업,오로라호텔(구.아인피플 호텔),제주특별자치도 제주시 논세길 51,064-748-1700,126.4423002,33.48941161
146,가족호텔업,샹그릴라호텔,제주특별자치도 제주시 해안마을북길 14-6,064-743-8098,126.453899,33.4644517
147,가족호텔업,에코패밀리호텔,제주특별자치도 제주시 한림읍 귀덕6길 94,064-796-8333,126.3026859,33.42808517
148,가족호텔업,이화호텔,제주특별자치도 제주시 도령로 155,064-745-8188,126.4922121,33.4947487
149,가족호텔업,마레보가족호텔,제주특별자치도 제주시 애월읍 신엄안3길 135,064-799-2090,126.4466095,33.46115312
150,가족호텔업,더제주리조트,제주특별자치도 제주시 한림읍 협재로 226,064-796-2908,126.2985154,33.42156525
151,가족호텔업,수앤수리조트,제주특별자치도 제주시 애월읍 부룡수길60,064-799-7090,126.4106691,33.46812944
152,가족호텔업,리치호텔,제주특별자치도 제주시 애월읍 고내로13길 100,064-799-1991,126.4149803,33.4730783
153,가족호텔업,도두봉호텔,제주특별자치도 제주시 서해안로 204,064-748-8862,126.469889,33.50655815
154,가족호텔업,호텔펄리플러스,제주특별자치도 제주시 도두봉2길 2,064-702-0071,126.4699676,33.50542808
155,가족호텔업,블루하와이호텔,제주특별자치도 제주시 한림읍 한림로 75,064-796-8191,126.2997061,33.4181863
156,가족호텔업,샐리스 제주호텔,제주특별자치도 제주시 애월읍 고내리 46,064-801-0025,126.444351,33.46206407
157,가족호텔업,아길라 호텔,제주특별자치도 제주시 한림읍 옹포2길 10,064-798-7700,126.3021582,33.42824025
158,가족호텔업,스카이호텔,제주특별자치도 제주시 한림읍 한림로 917,064-796-7900,126.2842054,33.42716609
159,가족호텔업,블루스프링 부띠끄 호텔,제주특별자치도 제주시 한림읍 한림로 330,064-796-1781,126.2985636,33.42649117
160,가족호텔업,통나무파크,제주특별자치도 제주시 애월읍 도치돌길 293,064-799-6909,126.4436419,33.446175
161,가족호텔업,그랑빌 가족호텔,제주특별자치도 서귀포시 중문관광로 17,064-739-9994,126.4154178,33.25624168
162,가족호텔업,중문빌리지 가족호텔,제주특별자치도 서귀포시 예래로 270,064-738-3151,126.3851325,33.24272659
163,가족호텔업,송악리조트,제주특별자치도 서귀포시 대정읍 형제해안로 256-5,064-794-6307,126.242476,33.23590772
164,가족호텔업,담앤루,제주특별자치도 서귀포시 이어도로343번길 63,064-739-6617,126.451468,33.24585154
165,가족호텔업,뷰티플리조트,제주특별자치도 서귀포시 이어도로253번길 2,064-738-7407,126.446574,33.24356218
166,가족호텔업,중문리조트,제주특별자치도 서귀포시 색달로 117,064-738-0085,126.4156435,33.26258082
167,가족호텔업,아라온리조트,제주특별자치도 서귀포시 소보리당로 220,,126.3842923,33.26254588
168,가족호텔업,중문통나무가족호텔,제주특별자치도 서귀포시 중산간서로594번길 7-28,064-738-8383,126.4510684,33.26413843
169,가족호텔업,와이리조트 제주,제주특별자치도 서귀포시 안덕면 화순중앙로124번길 75,064-794-7007,126.3279387,33.24256944
170,가족호텔업,코델리아리조트,제주특별자치도 서귀포시 성산읍 일주동로4120번길 23-20,070-4548-2200,126.8367164,33.44052282
171,가족호텔업,아름다운리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2644,064-782-1300,126.884397,33.46983579
172,가족호텔업,엔파제주호텔,제주특별자치도 서귀포시 성산읍 서성일로 726-11,064-783-1000,126.8620859,33.42976291
173,가족호텔업,봄그리고가을리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660,064-784-2211,126.8883538,33.47621381
174,가족호텔업,H.Y 초이호스텔,제주특별자치도 서귀포시 태평로335번길 11-1,064-732-3070,126.5583366,33.24706527
175,가족호텔업,파미유리조트 가족호텔,제주특별자치도 서귀포시 이어도로 826-6,064-738-9186,126.5028999,33.23499351
176,가족호텔업,호텔 섬오름,제주특별자치도 서귀포시 막숙포로 114,064-800-7200,126.510439,33.2330761
177,가족호텔업,㈜일레인,제주특별자치도 서귀포시 일주서로 660,064-738-2013,126.4390431,33.25459536
178,가족호텔업,봄그리고가을 가족호텔,제주특별자치도 서귀포시 성산읍 해맞이해안로 2652,064-784-2211,126.8836638,33.47894688
179,가족호텔업,토스카나호텔,제주특별자치도 서귀포시 용흥로66번길158-7,064-735-7000,126.4848093,33.26672524
180,가족호텔업,성산아쿠아비치호텔,제주특별자치도 서귀포시 성산읍 일주동로 4258,064-780-3000,126.8364843,33.45542625
181,가족호텔업,호텔아로하,제주특별자치도 서귀포시 성산읍 성산등용로 40,064-782-3100,126.9202718,33.46141789
182,가족호텔업,더포그레이스호텔앤리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2670,064-797-7700,126.8682148,33.46577358
183,가족호텔업,브리즈베이호텔,제주특별자치도 서귀포시 성산읍 성산등용로 42,064-784-0000,126.9209984,33.46088934
184,가족호텔업,제이뷰호텔,제주특별자치도 서귀포시 중산간서로 935,064-739-5200,126.4164809,33.26474934
185,가족호텔업,호텔 휴식 서귀포,제주특별자치도 서귀포시 중앙로 71번길 17,064-730-5000,126.561085,33.25103768
186,가족호텔업,코델리아S호텔,제주특별자치도 서귀포시 성산읍 일주동로 4186,064-783-0053,126.8391647,33.44963023
187,가족호텔업,썬라이즈호텔 섭지코지점,제주특별자치도 서귀포시 성산읍 신양로 83,064-784-7848,126.9200512,33.45928287
188,가족호텔업,제이앤비 가족호텔,제주특별자치도 서귀포시 토평남로30번길 10-8,064-733-8864,126.5926158,33.26076258
189,가족호텔업,글레즈하임호텔,제주특별자치도 서귀포시 이어도로 777,064-735-0200,126.4979217,33.23665476
190,호스텔업,아마스빌 호스텔,제주특별자치도 제주시 애월읍 신엄안3길 101,064-799-7300,126.4466095,33.46115312
191,호스텔업,스웨덴호스텔,제주특별자치도 제주시 한림읍 명재로 100-47,064-796-3721,126.286851,33.36919334
192,호스텔업,해미안,제주특별자치도 제주시 일주서로 7353,064-713-2001,126.4321368,33.49381818
193,호스텔업,용두암캐빈,제주특별자치도 제주시 어영길 32,064-712-2550,126.4964548,33.51788105
194,호스텔업,에바다호스텔,제주특별자치도 제주시 현사길 45,064-744-1398,126.4473013,33.49726245
195,호스텔업,카이 호스텔,제주특별자치도 제주시 한림읍 협재2길 10,064-796-2428,126.3021582,33.42824025
196,호스텔업,이호리조트,제주특별자치도 제주시 도리로 106-16,064-711-6625,126.4633537,33.49935386
197,호스텔업,씨클리프호텔제주(구. 윈드힐호텔&리조트),제주특별자치도 제주시 애월읍 애월해안로 554-8,064-799-3544,126.3628465,33.47764165
198,호스텔업,스완지,제주특별자치도 제주시 서해안로 84,064-744-6700,126.4582212,33.50302432
199,호스텔업,㈜호텔 알리앙스,제주특별자치도 제주시 서해안로 380,064-712-3200,126.4845104,33.51240039
200,호스텔업,엠제이호텔,제주특별자치도 제주시 신광로4길 16,064-713-8900,126.488396,33.48902655
201,호스텔업,에덴호스텔,제주특별자치도 제주시 서해안로 456-12,064-749-0006,126.4891863,33.51838446
202,호스텔업,조이 황토리조트,제주특별자치도 제주시 애월읍 신상로 258,064-743-8114,126.442142,33.44995181
203,호스텔업,레브호텔제주,제주특별자치도 제주시 은남1길15,064-745-8228,126.4941428,33.48906088
204,호스텔업,호스텔 오렌지트리,제주특별자치도 제주시 관덕로8길 7-12,1899-4233,126.524332,33.51230448
205,호스텔업,하모니리조트,제주특별자치도 제주시 한림읍 협재로 213,064-796-8441,126.2863477,33.4141586
206,호스텔업,제이투(J2),제주특별자치도 제주시 삼무로3길 37,064-713-2400,126.4918346,33.49028568
207,호스텔업,레드월 호스텔,제주특별자치도 제주시 현사길 33,064-743-6444,126.4486677,33.49698436
208,호스텔업,씨앤힐 스파펜션,제주특별자치도 제주시 애월읍 애월해안로 412,064-747-7007,126.4448474,33.44171843
209,호스텔업,아모르하우스,제주특별자치도 제주시 구좌읍 해맞이해안로 2060-18,064-783-1111,126.9016988,33.50882234
210,호스텔업,관광호스텔해밀,제주특별자치도 제주시 애월읍 광상로 272,064-799-3033,126.4426509,33.44732934
211,호스텔업,크라운골프텔,제주특별자치도 제주시 조천읍 북선로 125,064-784-4811,126.6297297,33.5088898
212,호스텔업,제주리조트,제주특별자치도 제주시 애월읍 가문동상4길 11,064-745-5533,126.415017,33.4758435
213,호스텔업,예그리나호스텔,제주특별자치도 제주시 구좌읍 일주동로 1845,064-784-1111,126.7649618,33.46453223
214,호스텔업,에코그린펜션,제주특별자치도 제주시 한림읍 귀덕6길 92-9,064-796-8333,126.3026859,33.42808517
215,호스텔업,더비치,제주특별자치도 제주시 서해안로 486-4,064-711-8831,126.4907298,33.51851998
216,호스텔업,비스타리조트,제주특별자치도 제주시 서해안로74,064-713-6631,126.4575871,33.50304839
217,호스텔업,스카이관광호스텔,제주특별자치도 제주시 이도일동 1782-1,064-758-3385,126.526573,33.500752
218,호스텔업,호텔통 연동,제주특별자치도 제주시 사장1길 28,064-743-2193,126.4926677,33.48538714
219,호스텔업,미라클호텔,제주특별자치도 제주시 서해안로 346-14,064-746-7895,126.481254,33.50941991
220,호스텔업,엠버리조트,제주특별자치도 제주시 1100로 2671-51,064-745-7461,126.4888906,33.42372167
221,호스텔업,제주프레임호스텔,제주특별자치도 제주시 애월읍 애월해안로 907,064-748-4000,126.4375314,33.44898389
222,호스텔업,우림호스텔,제주특별자치도 제주시 애월읍 애월해안로 917,064-749-2777,126.4388136,33.44895771
223,호스텔업,썬하우스,제주특별자치도 제주시 한림읍 일주서로 5556,064-796-8250,126.2782938,33.4229817
224,호스텔업,호텔 더 도두,제주특별자치도 제주시 도공로 2,064-749-0880,126.4649854,33.5061318
225,호스텔업,나디아호스텔,제주특별자치도 제주시 애월읍 애원로 74,064-799-8933,126.4425081,33.46072688
226,호스텔업,레드클레이호스텔,제주특별자치도 제주시 애월읍 신상로 266,064-749-5100,126.3962032,33.46086641
227,호스텔업,노벨리조트,제주특별자치도 제주시 서해안로 122,064-713-6181,126.462335,33.50240731
228,호스텔업,시드니호텔,제주특별자치도 제주시 애월읍 애월해안로 943,064-713-3399,126.4395827,33.45053231
229,호스텔업,썬비치리조트,제주특별자치도 제주시 서해안로 114,064-726-6668,126.4614025,33.50251223
230,호스텔업,자몽호스텔,제주특별자치도 제주시 한림읍 한림해안로 136,064-796-1121,126.2863506,33.41721979
231,호스텔업,씨스테이호텔,제주특별자치도 제주시 애월읍 애월해안로 255,064-799-7757,126.4424556,33.45117881
